id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
75065,https://www.airbnb.com/rooms/75065,20241229042402,2024-12-29,city scrape,Bay cottage on Passamaquoddy bay,,,https://a0.muscache.com/pictures/miso/Hosting-75065/original/07cd4ccd-a60f-4f0f-8210-17a5be11fe1b.jpeg,397069,https://www.airbnb.com/users/show/397069,Bob,2011-02-17,"Spring, TX",This property is our final resting place and retirement home someday. We were raised nearby and have spent a lot of time in the St. Andrews area. We love the scenery and friendly atmosphere of the area.,within an hour,100%,100%,f,https://a0.muscache.com/im/users/397069/profile_pic/1297982992/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/397069/profile_pic/1297982992/original.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,,Saint Andrews,Charlotte,45.1326,-67.04724,Entire home,Entire home/apt,6,1.0,1 bath,2.0,5.0,"[""Lockbox"", ""Cooking basics"", ""Free parking on premises"", ""Heating"", ""Kitchen"", ""Dishes and silverware"", ""Self check-in"", ""Indoor fireplace"", ""TV"", ""Wifi"", ""Hot water"", ""Dryer"", ""Washer""]",$274.00,2,730,2,2,1125,1125,2.0,1125.0,,t,30,60,90,273,2024-12-29,50,6,0,2015-07-05,2024-09-28,4.72,4.68,4.56,5.0,4.9,4.96,4.72,,f,1,1,0,0,0.43
1489389,https://www.airbnb.com/rooms/1489389,20241229042402,2024-12-29,city scrape,"Midpoint  Moncton, Saint John, Fredericton OPEN","Pleasant-View offers inn-style accommodation for those who want to see the best of rural  New Brunswick.  We provide breakfast and cosy, double-bed rooms.  If you are a group travelling, we can offer our kitchen and dining room on request.  Please indicate in a message if required.  Internet access free and lots of space to unwind after a day on the road or a hike through Fundy Park.  Right at Hatfield Point Wharf, where boat launching is easy, we have kayaks and a canoe.","Belleisle Bay is a hidden gem in southwestern New Brunswick.  It is a fiord surrounded by farms and opportunities to explore the countryside.  It is at the north east end of Stonehammer Geopark with the fossilized forests of Norton nearby.  One of the treats is the Belleisle Marsh Walking Trail, less than a kilometre from our doorstep.  Martins, beavers, winter birds abound there, a photographer`s dream.",https://a0.muscache.com/pictures/881523c5-66db-461e-a88a-bdc07f7f89ad.jpg,7964165,https://www.airbnb.com/users/show/7964165,Sharon,2013-08-05,"Hatfield Point, Canada",,within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/82f500cb-5b80-4264-8aa4-53eca8fcce6e.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/82f500cb-5b80-4264-8aa4-53eca8fcce6e.jpg?aki_policy=profile_x_medium,,4,6,"['email', 'phone']",t,t,Neighborhood highlights,Springfield,Kings,45.65121,-65.86078,Private room in bed and breakfast,Private room,8,2.5,2.5 shared baths,10.0,4.0,"[""Cooking basics"", ""Host greets you"", ""Private backyard \u2013 Not fully fenced"", ""Kitchen"", ""Free parking on premises"", ""Bay view"", ""Coffee maker"", ""Wifi"", ""Hot water"", ""Dryer"", ""Shampoo"", ""Pack \u2019n play/Travel crib"", ""Breakfast"", ""Essentials"", ""Outdoor furniture"", ""Hammock"", ""Outdoor dining area"", ""Extra pillows and blankets"", ""Washer"", ""Dishwasher"", ""Smoke alarm"", ""Shared patio or balcony"", ""Dishes and silverware"", ""Oven"", ""Iron"", ""Fire pit"", ""Beach essentials"", ""Free street parking"", ""Bed linens"", ""Waterfront"", ""Fire extinguisher"", ""TV"", ""Microwave"", ""Refrigerator"", ""BBQ grill"", ""Stove""]",$42.00,1,7,1,1,7,7,1.0,7.0,,t,28,58,88,351,2024-12-29,82,5,0,2015-06-03,2024-10-29,4.63,4.75,4.61,4.83,4.9,4.68,4.77,,t,4,0,4,0,0.7
2148508,https://www.airbnb.com/rooms/2148508,20241229042402,2024-12-29,city scrape,Near Fundy - Country Guest House All Seasons!,"Get a good night's sleep at best value in region.  Enjoy simple rooms in a rustic inn on Belleisle Bay at Hatfield Pt. Ideal as a getaway, near winery, waterfalls, great hiking, winter and summer sports.  Our kayaks are yours to use at no cost.  Groups welcome and we have a large, private kitchen and dining area where you can prepare your own meals.  Backpackers and workers on local contracts will enjoy the ambience.  Please read House Manual.","Belleisle is one of the most serene locations in New Brunswick.  A fiord like bay, with rolling hills and working farms, waterfalls, wildlife, old graveyards, all sports and game.  Beautiful birds in the marsh. Picturesque ferries, artisans.  Two wineries within easy drives.  Or just sit on the porch in a rocker.",https://a0.muscache.com/pictures/29187330/65817502_original.jpg,7964165,https://www.airbnb.com/users/show/7964165,Sharon,2013-08-05,"Hatfield Point, Canada",,within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/82f500cb-5b80-4264-8aa4-53eca8fcce6e.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/82f500cb-5b80-4264-8aa4-53eca8fcce6e.jpg?aki_policy=profile_x_medium,,4,6,"['email', 'phone']",t,t,Neighborhood highlights,Springfield,Kings,45.65001,-65.86005,Private room in bed and breakfast,Private room,8,2.5,2.5 shared baths,10.0,10.0,"[""Lock on bedroom door"", ""Cooking basics"", ""Private backyard \u2013 Not fully fenced"", ""Kitchen"", ""Free parking on premises"", ""Bay view"", ""Self check-in"", ""Hair dryer"", ""Coffee maker"", ""Beach access \u2013 Beachfront"", ""Wifi"", ""Hot water"", ""Dryer"", ""Shampoo"", ""Building staff"", ""Hangers"", ""Breakfast"", ""Essentials"", ""Outdoor furniture"", ""Hammock"", ""Outdoor dining area"", ""Washer"", ""Dishwasher"", ""Smoke alarm"", ""Shared patio or balcony"", ""Dishes and silverware"", ""Oven"", ""TV with standard cable"", ""Iron"", ""Fire pit"", ""Free street parking"", ""Heating"", ""Indoor fireplace"", ""Fire extinguisher"", ""Microwave"", ""Refrigerator"", ""BBQ grill"", ""First aid kit"", ""Stove""]",$42.00,1,14,1,1,14,14,1.0,14.0,,t,28,58,88,346,2024-12-29,232,41,0,2014-03-12,2024-11-05,4.74,4.82,4.55,4.86,4.88,4.71,4.83,,t,4,0,4,0,1.76
3217193,https://www.airbnb.com/rooms/3217193,20241229042402,2024-12-29,city scrape,Harris Hatch - Starfish,"St. Andrews by the Sea. These cozy and convenient beach themed suites are at ground level and newly renovated. Located in the heart of St. Andrews By-the-Sea!  Loads of space. Fresh and open.  Each unit sleeps 4 (Queen bed, single bed , plus sofa bed).","Our guests often comment on the quiet neighbourhood and that everything is within walking distance. The commercial district has a distinctive character and appearance, scarcely changed since the 1800s. The wares being offered here, however, have changed - today you will find a diverse selection of interesting goods. From quality apparel to artisanal gifts with a local flavour, there is something for everyone.",https://a0.muscache.com/pictures/miso/Hosting-3217193/original/78b935ae-dc47-413c-92ce-ff7b46c32945.jpeg,16292752,https://www.airbnb.com/users/show/16292752,Karen,2014-06-02,"St. Andrews, Canada","Andrew and I first visited in St. Andrews, NB in the late 1980's and loved the charm, history, and natural beauty of the area.  We raised two children. Boston is only a 6-hour drive and one of our favourite cities. St. Andrews has the classic east coast feel with historical buildings, friendly people, and plenty to do.",within an hour,100%,100%,t,https://a0.muscache.com/im/users/16292752/profile_pic/1404306921/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/16292752/profile_pic/1404306921/original.jpg?aki_policy=profile_x_medium,,3,4,"['email', 'phone']",t,t,Neighborhood highlights,Saint Andrews,Charlotte,45.07619,-67.05352,Entire guesthouse,Entire home/apt,5,1.0,1 bath,1.0,4.0,"[""Cooking basics"", ""Children\u2019s books and toys"", ""Free parking on premises"", ""Kitchen"", ""Hair dryer"", ""Patio or balcony"", ""Single level home"", ""High chair"", ""Hot water"", ""Wifi"", ""Backyard"", ""Hangers"", ""Pack \u2019n play/Travel crib"", ""Essentials"", ""Barbecue utensils"", ""Outdoor furniture"", ""Extra pillows and blankets"", ""Bathtub"", ""Private entrance"", ""Baby monitor"", ""Smoke alarm"", ""Dishes and silverware"", ""Oven"", ""TV with standard cable"", ""Baby bath"", ""Iron"", ""Ceiling fan"", ""Crib"", ""Pets allowed"", ""Free street parking"", ""AC - split type ductless system"", ""Bed linens"", ""Children\u2019s dinnerware"", ""Coffee maker: pour-over coffee"", ""Heating"", ""Fire extinguisher"", ""Microwave"", ""Refrigerator"", ""BBQ grill"", ""First aid kit"", ""Stove"", ""Baking sheet""]",$182.00,3,1125,3,3,1125,1125,3.0,1125.0,,t,0,0,0,233,2024-12-29,92,8,0,2014-07-16,2024-09-13,4.95,4.91,4.89,4.93,4.91,4.99,4.9,,f,3,3,0,0,0.72
6953485,https://www.airbnb.com/rooms/6953485,20241229042402,2024-12-29,city scrape,Fredericton 4 Bedroom sleeps 8 3000 SqFt,"Beautiful, Spacious, 4 bedroom - main level home had 1 large 4 piece bathroom, four bedrooms with their own private powder room; 3 living areas, 12 place setting dining table and a large laundry rm.   We have a beautiful chefs kitchen for you to prepare food, free wifi, outdoor patio deck, bbq, beautifully landscaped gardens, free parking for 4 vehicles, Bedding, Blankets, coffee makers, dishes & dishwasher, utensils, toaster, everything is included.","Welcome to Gatherings Guest House is on 1.25 acres, parking for 8 located on the beautiful Saint John River Valley just a few minutes from Fredericton, New Brunswick's capital.  The views along the Saint John River Valley are lovely our home is situated on a 1 1/4 acre lot of land so there is lots of room and open space to relax and enjoy the outdoor space and the neighbourhood is very quiet and safe.  Being the capital of the province our city has no industrial manufacturing so our air is very fresh and clean for you to enjoy while you relax on your vacation while you stay with us.<br />Just a few Kilometres up river we have a Mactaquac provincial park that has an 18 hole golf course, provincial camping, a marina and a swimming.<br />There are three more golf courses in this are they are; Kingswood, Fredericton Golf club and they also have an indoor curling club and carman creek golf course.",https://a0.muscache.com/pictures/miso/Hosting-6953485/original/848e05a8-4703-423b-95ef-2d7140e99fac.jpeg,27531003,https://www.airbnb.com/users/show/27531003,Shaune,2015-02-10,"Fredericton, Canada","Hi I am an interior designer and my husband is a renovator that makes all my design details evolve into beautiful space.  We love to travel, entertain and have dinner parties and visit with friends and family in our wonderful River Home.  We have two lovely black Labradors and we all love to spend time in this beautiful space on the water!",within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/c4bac038-f691-43fe-85bf-e731e4841985.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/c4bac038-f691-43fe-85bf-e731e4841985.jpg?aki_policy=profile_x_medium,,3,5,"['email', 'phone']",t,t,Neighborhood highlights,Douglas,York,45.9794,-66.73114,Entire home,Entire home/apt,8,1.0,1 bath,4.0,7.0,"[""Cooking basics"", ""Private backyard \u2013 Not fully fenced"", ""Kitchen"", ""Self check-in"", ""Hair dryer"", ""Coffee maker"", ""Single level home"", ""Shower gel"", ""Wine glasses"", ""Wifi"", ""Hot water"", ""Shampoo"", ""Portable fans"", ""Viking stainless steel gas stove"", ""Clothing storage: walk-in closet"", ""Long term stays allowed"", ""Hangers"", ""Breakfast"", ""Essentials"", ""Drying rack for clothing"", ""Central heating"", ""60 inch HDTV with standard cable"", ""Barbecue utensils"", ""Private patio or balcony"", ""Outdoor furniture"", ""Indoor fireplace: wood-burning"", ""Luggage dropoff allowed"", ""Blender"", ""Outdoor dining area"", ""Extra pillows and blankets"", ""Dining table"", ""Central air conditioning"", ""River view"", ""Bathtub"", ""Freezer"", ""48\"" Viking stove has 2 ovens; the main oven is 34\"" , the other oven  16\"" stainless steel oven"", ""Private entrance"", ""Board games"", ""Smoke alarm"", ""Dishwasher"", ""Dishes and silverware"", ""Free dryer \u2013 In building"", ""Iron"", ""Fire pit"", ""Hot water kettle"", ""Toaster"", ""Pets allowed"", ""Bed linens"", ""48\"" Viking Fridge with a 30\"" full length fridge and a 18\"" full length freezer refrigerator"", ""Cleaning products"", ""Books and reading material"", ""Dove conditioner"", ""Fire extinguisher"", ""Microwave"", ""BBQ grill"", ""Keypad"", ""First aid kit"", ""Dedicated workspace"", ""Free washer \u2013 In building"", ""Carbon monoxide alarm"", ""Window AC unit"", ""Dove body soap"", ""Free driveway parking on premises \u2013 8 spaces"", ""Baking sheet""]",$795.00,4,1125,4,4,1125,1125,4.0,1125.0,,t,0,0,0,0,2024-12-29,13,0,0,2015-11-21,2023-12-22,4.92,4.92,4.77,4.92,4.92,4.85,4.77,,f,3,3,0,0,0.12
7500113,https://www.airbnb.com/rooms/7500113,20241229042402,2024-12-29,city scrape,The Russell's Guest House,"Welcome to a little piece of paradise. Sit on the large front deck and enjoy the view of the gorgeous sand beach just steps away. Fire up the BBQ and mix a drink. Later, light the fire pit and listen to the waves roll in on the beach. Pure heaven!<br />*Please note that we have a 3 night minimum stay requirement.",,https://a0.muscache.com/pictures/95085575/9ada78a6_original.jpg,39285562,https://www.airbnb.com/users/show/39285562,Vaneesa,2015-07-22,"Grand Manan, Canada","The Russell's guest house is managed by my sister Jodie and myself. This is our grandparents home that we are loving updating to make your stay as comfortable as possible. 
We enjoy sharing a piece of our history with our guests as well as our beautiful islands. 
*I now have a second property to share. I'm pleased to introduce you to Lake Side Hideaway. 
Come enjoy a new 5th wheel trailer set up along the Washadamoak Lake, in beautiful Cambridge-Narrows. Check out the listing for more details. ",,,100%,t,https://a0.muscache.com/im/pictures/user/3a42c702-aa7d-4e90-82e7-fd88dd827ce8.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/3a42c702-aa7d-4e90-82e7-fd88dd827ce8.jpg?aki_policy=profile_x_medium,,2,2,"['email', 'phone']",t,t,,Grand Manan,Charlotte,44.62412,-66.72349,Entire home,Entire home/apt,10,1.5,1.5 baths,3.0,6.0,"[""Cooking basics"", ""Free washer \u2013 In unit"", ""Children\u2019s books and toys"", ""Baby safety gates"", ""Kitchen"", ""Private backyard \u2013 Not fully fenced"", ""Free parking on premises"", ""Self check-in"", ""Hair dryer"", ""Coffee maker"", ""Host greets you"", ""Beach access \u2013 Beachfront"", ""HDTV with Disney+, Netflix, Roku, DVD player"", ""Wifi"", ""Hot water"", ""Free dryer \u2013 In unit"", ""Hangers"", ""Pack \u2019n play/Travel crib"", ""Lockbox"", ""Essentials"", ""Barbecue utensils"", ""Private patio or balcony"", ""Outdoor furniture"", ""Extra pillows and blankets"", ""Bathtub"", ""Private entrance"", ""Smoke alarm"", ""Dishes and silverware"", ""Oven"", ""Iron"", ""Fire pit"", ""Beach essentials"", ""Pets allowed"", ""Bed linens"", ""Waterfront"", ""Heating"", ""Fire extinguisher"", ""Microwave"", ""Refrigerator"", ""BBQ grill"", ""First aid kit"", ""Stove"", ""Baking sheet""]",$175.00,3,14,1,3,1125,1125,3.0,1125.0,,t,30,60,90,345,2024-12-29,27,2,0,2016-08-01,2024-08-17,4.96,4.89,4.96,5.0,4.96,4.93,4.85,,f,2,2,0,0,0.26
8067773,https://www.airbnb.com/rooms/8067773,20241229042402,2024-12-29,city scrape,Large Premium Lake House,"Our beautifully upgraded 3 bedroom lakefront home on quiet spring fed Skiff Lake, New Brunswick. Boasts private driveway and entrance, open concept living on one acre of treed property with over 100 ft of lakefront, BBQ, Large deck, Waterfront dining room, Pool room, High speed internet, 4 flatscreen televisions with deluxe satellite, 2 person sauna, and a full generator that kicks in when the electricity goes off. Includes Gararge for parking one car. Less than 20 minutes from Transcanada Hwy.","Located right on the Route 122 which leads directly to the Transcanada, our home is less than 10 minutes from a convenience store and 20 minutes from the Highway.",https://a0.muscache.com/pictures/b7b55c1a-4b67-43b7-90bc-4700ee756b21.jpg,42518338,https://www.airbnb.com/users/show/42518338,Dee,2015-08-25,"Canterbury, Canada","I'm a marketing and PR professional residing in beautiful New Brunswick. Recently my company Jones APR has been active with apps on the Apple iTunes store, we also have over 100,000 social media followers!",a few days or more,0%,,f,https://a0.muscache.com/im/users/42518338/profile_pic/1441199429/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/42518338/profile_pic/1441199429/original.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,Neighborhood highlights,Canterbury,York,45.82759,-67.53991,Entire home,Entire home/apt,6,3.0,3 baths,4.0,4.0,"[""Cooking basics"", ""Host greets you"", ""Free parking on premises"", ""Kitchen"", ""Hair dryer"", ""Coffee maker"", ""Ski-in/Ski-out"", ""Air conditioning"", ""High chair"", ""Hot water"", ""Dryer"", ""Shampoo"", ""Wifi"", ""Backyard"", ""Long term stays allowed"", ""Hangers"", ""Essentials"", ""Gym"", ""Washer"", ""Dishwasher"", ""Smoke alarm"", ""Dishes and silverware"", ""Oven"", ""TV with standard cable"", ""Iron"", ""Pets allowed"", ""Lake access"", ""Waterfront"", ""Heating"", ""Indoor fireplace"", ""Fire extinguisher"", ""Microwave"", ""Refrigerator"", ""BBQ grill"", ""First aid kit"", ""Dedicated workspace"", ""Carbon monoxide alarm"", ""Stove""]",$250.00,7,30,7,7,30,30,7.0,30.0,,t,23,53,83,358,2024-12-29,0,0,0,,,,,,,,,,,f,1,1,0,0,
8137800,https://www.airbnb.com/rooms/8137800,20241229042402,2024-12-29,city scrape,Malik’s Cottage,"Weather you are looking for a  a romantic getaway or a vacation, this is the perfect destination for you, only 25 min from Moncton, this house is situated on the cocagne river, where you can enjoy peaceful moment, the beautiful romantic sunset views, we are renting only weekly Saturday to the following Saturday.",,https://a0.muscache.com/pictures/106426307/c7fc93b0_original.jpg,42972017,https://www.airbnb.com/users/show/42972017,Ghada,2015-08-31,"Dieppe, Canada",,a few days or more,0%,33%,f,https://a0.muscache.com/im/pictures/user/85b11c1b-c060-4157-be0b-cbec93a44f46.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/85b11c1b-c060-4157-be0b-cbec93a44f46.jpg?aki_policy=profile_x_medium,,2,6,"['email', 'phone']",t,t,,Dundas,Kent,46.32793,-64.68282,Entire cottage,Entire home/apt,8,1.0,1 bath,4.0,4.0,"[""Essentials"", ""Smoke alarm"", ""Heating"", ""Kitchen"", ""Free parking on premises"", ""TV with standard cable"", ""Fire extinguisher"", ""Pets allowed"", ""Wifi"", ""Dryer"", ""Washer""]",$295.00,3,30,3,3,30,30,3.0,30.0,,t,30,60,90,361,2024-12-29,11,0,0,2015-09-21,2022-08-30,4.73,4.73,4.91,5.0,5.0,4.55,4.91,,f,2,2,0,0,0.1
8336839,https://www.airbnb.com/rooms/8336839,20241229042402,2024-12-29,city scrape,The Cottage that Hugs You,"When you arrive you will be greeted by the amazing smell of pine trees, and as you enter the cottage you will feel as though you have been hugged. Located right on the water, you will experience beautiful sunsets, the sounds of nature, and a peaceful escape from the busyness of life.",,https://a0.muscache.com/pictures/prohost-api/Hosting-8336839/original/1754651d-7fec-4b1e-88c2-04dd11b6e03b.jpeg,42169404,https://www.airbnb.com/users/show/42169404,James Roderick,2015-08-22,"London, Canada","We are entrepreneurs now living and raising a family in central Canada. Rod is a financial planner with his own company, Gallagher Financial, and Victoria is a Speech-Language Pathologist. We have four little boys  who keep us busy and keep life interesting!",a few days or more,0%,100%,f,https://a0.muscache.com/im/pictures/user/User/original/78dd9cbe-5f7e-438c-b07b-aa3414b789fb.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User/original/78dd9cbe-5f7e-438c-b07b-aa3414b789fb.jpeg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,,Sheffield,Sunbury,45.9278,-66.29629,Entire cottage,Entire home/apt,7,1.0,1 bath,2.0,4.0,"[""Cooking basics"", ""Free washer \u2013 In unit"", ""Children\u2019s books and toys"", ""Free parking on premises"", ""Kitchen"", ""Self check-in"", ""Hair dryer"", ""Coffee maker"", ""Body soap"", ""Air conditioning"", ""Lake view"", ""Conditioner"", ""Shower gel"", ""High chair"", ""Hot water"", ""Wine glasses"", ""Shampoo"", ""Portable fans"", ""Free dryer \u2013 In unit"", ""Private beach access"", ""Backyard"", ""Hangers"", ""Long term stays allowed"", ""Pack \u2019n play/Travel crib"", ""Essentials"", ""Drying rack for clothing"", ""Barbecue utensils"", ""Private patio or balcony"", ""Outdoor furniture"", ""Clothing storage: wardrobe and dresser"", ""Beach view"", ""Extra pillows and blankets"", ""Dining table"", ""Outdoor dining area"", ""Bathtub"", ""Sound system"", ""Freezer"", ""Room-darkening shades"", ""Board games"", ""Smoke alarm"", ""Dishes and silverware"", ""Oven"", ""Fire pit"", ""Fast wifi \u2013 83 Mbps"", ""Hot water kettle"", ""Indoor fireplace: electric"", ""TV with Amazon Prime Video, Apple TV, Disney+, Netflix"", ""Toaster"", ""Beach essentials"", ""Bed linens"", ""Lake access"", ""Cleaning products"", ""Children\u2019s dinnerware"", ""Portable heater"", ""Waterfront"", ""Books and reading material"", ""Fire extinguisher"", ""Coffee"", ""Microwave"", ""Refrigerator"", ""BBQ grill"", ""Keypad"", ""Rice maker"", ""Stove"", ""Baking sheet""]",$164.00,3,1125,3,3,1125,1125,3.0,1125.0,,t,0,0,0,242,2024-12-29,36,6,0,2016-07-03,2024-09-29,4.56,4.57,4.46,4.83,4.8,4.86,4.57,,f,1,1,0,0,0.35
10498154,https://www.airbnb.com/rooms/10498154,20241229042402,2024-12-29,city scrape,Beautiful Parlee Beach Cottage,"Our new 1650sq. ft. cottage has a huge yard, perfect for any family. It's located 250m from the beach, great bike paths and just a short walk to Pointe du Chene Wharf. Come relax at our home away from home! <br /><br />Minimum 7 night stay, Sunday to Sunday.","Short walk to Parlee Beach, Pointe Du Chene pier, beach volleyball and restaurants.  This is a great place for a spring, summer or a fall getaway with your family.",https://a0.muscache.com/pictures/2af7ab86-da2f-40ab-aa17-c7a743071183.jpg,54121365,https://www.airbnb.com/users/show/54121365,Lynsey,2016-01-10,Canada,Love to travel and love when I get the opportunity to host people who travel to my fav place! ,,,0%,f,https://a0.muscache.com/im/pictures/user/a674ebdf-0490-4ba5-8b0d-d869c14ba270.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/a674ebdf-0490-4ba5-8b0d-d869c14ba270.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,Neighborhood highlights,Shediac,Westmorland,46.2388,-64.51592,Entire home,Entire home/apt,8,2.0,2 baths,3.0,4.0,"[""Private backyard \u2013 Fully fenced"", ""Cooking basics"", ""Free parking on premises"", ""Kitchen"", ""Self check-in"", ""Hair dryer"", ""Coffee maker"", ""Beach access \u2013 Beachfront"", ""Air conditioning"", ""Wifi"", ""Hot water"", ""Dryer"", ""Shampoo"", ""Hangers"", ""Lockbox"", ""Essentials"", ""Private patio or balcony"", ""Outdoor furniture"", ""Outdoor dining area"", ""Extra pillows and blankets"", ""Washer"", ""Room-darkening shades"", ""Dishwasher"", ""Smoke alarm"", ""Dishes and silverware"", ""Oven"", ""Iron"", ""Fire pit"", ""Beach essentials"", ""Free street parking"", ""Bed linens"", ""Heating"", ""Indoor fireplace"", ""Fire extinguisher"", ""TV"", ""Microwave"", ""Refrigerator"", ""BBQ grill"", ""Carbon monoxide alarm"", ""Stove""]",$300.00,7,30,7,7,30,30,7.0,30.0,,t,30,60,90,243,2024-12-29,52,0,0,2016-07-02,2023-08-20,4.87,4.9,4.75,4.9,4.83,4.87,4.6,,f,1,1,0,0,0.5
